sku;title;variantkey;variant:Storlek;variant:Färg;priceisinclvat;moneyprice;moneypricein;vatid;defaultcategoryid;stockcountenable;stockallowbackorder;barcode;custom1;custom2;custom3;custom4;custom5;descriptionshort;description;manufacturerid
KNITS-DIAGONAL-91845;La Chemise Norrmalm XLÄ;5;42;;true;898;183;2;272;true;true;7333289091845;KNITS DIAGONAL;v21;;;;grå enf (em);Grå jersey;73
KNITS-DIAGONAL-91852;La Chemise Norrmalm XLÄ;5;43;;true;898;183;2;272;true;true;7333289091852;KNITS DIAGONAL;v21;;;;grå enf (em);Grå jersey;73
NEW-MANILA-WHITE-NI-91869;La Chemise Norrmalm XLÄ;6;38;;true;898;145;2;272;true;true;7333289091869;NEW MANILA WHITE NI SINGLE CUFF;v21;;;;vit enf (em);struktur. Non-iron;73
NEW-MANILA-WHITE-NI-91876;La Chemise Norrmalm XLÄ;6;39;;true;898;145;2;272;true;true;7333289091876;NEW MANILA WHITE NI SINGLE CUFF;v21;;;;vit enf (em);struktur. Non-iron;73
NEW-MANILA-WHITE-NI-91883;La Chemise Norrmalm XLÄ;6;40;;true;898;145;2;272;true;true;7333289091883;NEW MANILA WHITE NI SINGLE CUFF;v21;;;;vit enf (em);struktur. Non-iron;73
NEW-MANILA-WHITE-NI-91890;La Chemise Norrmalm XLÄ;6;41;;true;898;145;2;272;true;true;7333289091890;NEW MANILA WHITE NI SINGLE CUFF;v21;;;;vit enf (em);struktur. Non-iron;73
NEW-MANILA-WHITE-NI-91906;La Chemise Norrmalm XLÄ;6;42;;true;898;145;2;272;true;true;7333289091906;NEW MANILA WHITE NI SINGLE CUFF;v21;;;;vit enf (em);struktur. Non-iron;73
NEW-MANILA-WHITE-NI-91913;La Chemise Norrmalm XLÄ;6;43;;true;898;145;2;272;true;true;7333289091913;NEW MANILA WHITE NI SINGLE CUFF;v21;;;;vit enf (em);struktur. Non-iron;73
NEW-MANILA-WHITE-NI-91920;La Chemise Norrmalm XLÄ;7;38;;true;898;145;2;272;true;true;7333289091920;NEW MANILA WHITE NI DOUBLE CUFF;v21;;;;vit enf (dm);struktur. Non-iron;73
NEW-MANILA-WHITE-NI-91937;La Chemise Norrmalm XLÄ;7;39;;true;898;145;2;272;true;true;7333289091937;NEW MANILA WHITE NI DOUBLE CUFF;v21;;;;vit enf (dm);struktur. Non-iron;73
NEW-MANILA-WHITE-NI-91944;La Chemise Norrmalm XLÄ;7;40;;true;898;145;2;272;true;true;7333289091944;NEW MANILA WHITE NI DOUBLE CUFF;v21;;;;vit enf (dm);struktur. Non-iron;73
NEW-MANILA-WHITE-NI-91951;La Chemise Norrmalm XLÄ;7;41;;true;898;145;2;272;true;true;7333289091951;NEW MANILA WHITE NI DOUBLE CUFF;v21;;;;vit enf (dm);struktur. Non-iron;73
NEW-MANILA-WHITE-NI-91968;La Chemise Norrmalm XLÄ;7;42;;true;898;145;2;272;true;true;7333289091968;NEW MANILA WHITE NI DOUBLE CUFF;v21;;;;vit enf (dm);struktur. Non-iron;73
NEW-MANILA-WHITE-NI-91975;La Chemise Norrmalm XLÄ;7;43;;true;898;145;2;272;true;true;7333289091975;NEW MANILA WHITE NI DOUBLE CUFF;v21;;;;vit enf (dm);struktur. Non-iron;73
Skagway-NI-SINGLE-CU-91982;La Chemise Norrmalm XLÄ;8;38;;true;898;145;2;272;true;true;7333289091982;Skagway NI SINGLE CUFF;v21;;;;vit enf (em);Twill. Non-iron;73
Skagway-NI-SINGLE-CU-91999;La Chemise Norrmalm XLÄ;8;39;;true;898;145;2;272;true;true;7333289091999;Skagway NI SINGLE CUFF;v21;;;;vit enf (em);Twill. Non-iron;73
Skagway-NI-SINGLE-CU-92002;La Chemise Norrmalm XLÄ;8;40;;true;898;145;2;272;true;true;7333289092002;Skagway NI SINGLE CUFF;v21;;;;vit enf (em);Twill. Non-iron;73
Skagway-NI-SINGLE-CU-92019;La Chemise Norrmalm XLÄ;8;41;;true;898;145;2;272;true;true;7333289092019;Skagway NI SINGLE CUFF;v21;;;;vit enf (em);Twill. Non-iron;73
