sku;title;variantkey;variant:Storlek;variant:Färg;priceisinclvat;moneyprice;moneypricein;vatid;defaultcategoryid;stockcountenable;stockallowbackorder;barcode;custom1;custom2;custom3;custom4;custom5;descriptionshort;description;manufacturerid
MAHARAJA-PRINT-92828;La Chemise Norrmalm XLÄ;22;38;;true;898;191;2;272;true;true;7333289092828;MAHARAJA PRINT;v21;;;;blå övr (em);Djungel-Print;73
MAHARAJA-PRINT-92835;La Chemise Norrmalm XLÄ;22;39;;true;898;191;2;272;true;true;7333289092835;MAHARAJA PRINT;v21;;;;blå övr (em);Djungel-Print;73
MAHARAJA-PRINT-92842;La Chemise Norrmalm XLÄ;22;40;;true;898;191;2;272;true;true;7333289092842;MAHARAJA PRINT;v21;;;;blå övr (em);Djungel-Print;73
MAHARAJA-PRINT-92859;La Chemise Norrmalm XLÄ;22;41;;true;898;191;2;272;true;true;7333289092859;MAHARAJA PRINT;v21;;;;blå övr (em);Djungel-Print;73
MAHARAJA-PRINT-92866;La Chemise Norrmalm XLÄ;22;42;;true;898;191;2;272;true;true;7333289092866;MAHARAJA PRINT;v21;;;;blå övr (em);Djungel-Print;73
MAHARAJA-PRINT-92873;La Chemise Norrmalm XLÄ;22;43;;true;898;191;2;272;true;true;7333289092873;MAHARAJA PRINT;v21;;;;blå övr (em);Djungel-Print;73
SEERSUCKER-BLUE-92880;La Chemise Norrmalm XLÄ;23;38;;true;898;166;2;272;true;true;7333289092880;SEERSUCKER BLUE;v21;;;;blå ran (em bd);Bäckebölja;73
SEERSUCKER-BLUE-92897;La Chemise Norrmalm XLÄ;23;39;;true;898;166;2;272;true;true;7333289092897;SEERSUCKER BLUE;v21;;;;blå ran (em bd);Bäckebölja;73
SEERSUCKER-BLUE-92903;La Chemise Norrmalm XLÄ;23;40;;true;898;166;2;272;true;true;7333289092903;SEERSUCKER BLUE;v21;;;;blå ran (em bd);Bäckebölja;73
SEERSUCKER-BLUE-92910;La Chemise Norrmalm XLÄ;23;41;;true;898;166;2;272;true;true;7333289092910;SEERSUCKER BLUE;v21;;;;blå ran (em bd);Bäckebölja;73
SEERSUCKER-BLUE-92927;La Chemise Norrmalm XLÄ;23;42;;true;898;166;2;272;true;true;7333289092927;SEERSUCKER BLUE;v21;;;;blå ran (em bd);Bäckebölja;73
SEERSUCKER-BLUE-92934;La Chemise Norrmalm XLÄ;23;43;;true;898;166;2;272;true;true;7333289092934;SEERSUCKER BLUE;v21;;;;blå ran (em bd);Bäckebölja;73
SEERSUCKER-WHITE-92941;La Chemise Norrmalm XLÄ;24;38;;true;898;166;2;272;true;true;7333289092941;SEERSUCKER WHITE;v21;;;;vit enf (em bd);Bäckebölja;73
SEERSUCKER-WHITE-92958;La Chemise Norrmalm XLÄ;24;39;;true;898;166;2;272;true;true;7333289092958;SEERSUCKER WHITE;v21;;;;vit enf (em bd);Bäckebölja;73
SEERSUCKER-WHITE-92965;La Chemise Norrmalm XLÄ;24;40;;true;898;166;2;272;true;true;7333289092965;SEERSUCKER WHITE;v21;;;;vit enf (em bd);Bäckebölja;73
SEERSUCKER-WHITE-92972;La Chemise Norrmalm XLÄ;24;41;;true;898;166;2;272;true;true;7333289092972;SEERSUCKER WHITE;v21;;;;vit enf (em bd);Bäckebölja;73
SEERSUCKER-WHITE-92989;La Chemise Norrmalm XLÄ;24;42;;true;898;166;2;272;true;true;7333289092989;SEERSUCKER WHITE;v21;;;;vit enf (em bd);Bäckebölja;73
SEERSUCKER-WHITE-92996;La Chemise Norrmalm XLÄ;24;43;;true;898;166;2;272;true;true;7333289092996;SEERSUCKER WHITE;v21;;;;vit enf (em bd);Bäckebölja;73
GARMENT-DYE-LINEN-93009;La Chemise Norrmalm XLÄ;25;38;;true;898;158;2;272;true;true;7333289093009;GARMENT DYE LINEN;v21;;;;blå enf (em lin);Marinblå linne;73
GARMENT-DYE-LINEN-93016;La Chemise Norrmalm XLÄ;25;39;;true;898;158;2;272;true;true;7333289093016;GARMENT DYE LINEN;v21;;;;blå enf (em lin);Marinblå linne;73
GARMENT-DYE-LINEN-93023;La Chemise Norrmalm XLÄ;25;40;;true;898;158;2;272;true;true;7333289093023;GARMENT DYE LINEN;v21;;;;blå enf (em lin);Marinblå linne;73
GARMENT-DYE-LINEN-93030;La Chemise Norrmalm XLÄ;25;41;;true;898;158;2;272;true;true;7333289093030;GARMENT DYE LINEN;v21;;;;blå enf (em lin);Marinblå linne;73
GARMENT-DYE-LINEN-93047;La Chemise Norrmalm XLÄ;25;42;;true;898;158;2;272;true;true;7333289093047;GARMENT DYE LINEN;v21;;;;blå enf (em lin);Marinblå linne;73
GARMENT-DYE-LINEN-93054;La Chemise Norrmalm XLÄ;25;43;;true;898;158;2;272;true;true;7333289093054;GARMENT DYE LINEN;v21;;;;blå enf (em lin);Marinblå linne;73
